iter	Logloss
0	0.5424864739
1	0.4489662167
2	0.3900964677
3	0.3542607335
4	0.3330165584
5	0.3200883002
6	0.3074091456
7	0.2981548597
8	0.2899117078
9	0.2840582944
10	0.2807129769
11	0.2775483479
12	0.2734342674
13	0.2695039762
14	0.2665933266
15	0.2645011168
16	0.2621880292
17	0.2598848293
18	0.2578289359
19	0.255918018
20	0.2539874037
21	0.2526270473
22	0.2504102441
23	0.2488542083
24	0.2466041297
25	0.2448951062
26	0.242329936
27	0.2407207974
28	0.2388433319
29	0.2367348968
30	0.2353337412
31	0.2332986541
32	0.2321688582
33	0.2309861236
34	0.2299906462
35	0.2281803596
36	0.2266640707
37	0.2251700438
38	0.2238716103
39	0.2223517993
40	0.2203532134
41	0.2194439032
42	0.2182686573
43	0.2166848103
44	0.2155066929
45	0.2133878456
46	0.2123073422
47	0.2110934262
48	0.2100580555
49	0.208769784
50	0.2071394595
51	0.2054049463
52	0.2040389888
53	0.2028030252
54	0.2007081052
55	0.1987829071
56	0.1975942436
57	0.1956239326
58	0.1943393494
59	0.1915431063
60	0.1899830271
61	0.1880529911
62	0.1862150185
63	0.1845907989
64	0.1834220284
65	0.1816182591
66	0.179735242
67	0.1786677853
68	0.177554819
69	0.1765490922
70	0.1748283046
71	0.1735063047
72	0.1719739496
73	0.170717693
74	0.1685038418
75	0.1668951508
76	0.1655701934
77	0.1639267849
78	0.1623809115
79	0.160928659
80	0.1597537391
81	0.1586337536
82	0.1572716972
83	0.1557903225
84	0.1543287003
85	0.1527181955
86	0.1518077515
87	0.1503037156
88	0.1488932985
89	0.1476233573
90	0.1465574451
91	0.1453544031
92	0.1440884624
93	0.1423943259
94	0.1411111183
95	0.1396838295
96	0.1389452109
97	0.1378992875
98	0.1367575293
99	0.1357071428
