iter	Passed	Remaining
0	13	1348
1	24	1177
2	33	1068
3	44	1074
4	55	1050
5	62	986
6	71	949
7	81	938
8	90	918
9	99	898
10	109	882
11	119	876
12	129	866
13	137	846
14	148	841
15	157	828
16	167	817
17	178	810
18	187	800
19	197	791
20	207	781
21	216	765
22	226	759
23	236	747
24	246	739
25	255	726
26	266	720
27	275	709
28	283	693
29	291	680
30	300	668
31	309	658
32	317	645
33	325	632
34	334	621
35	343	609
36	351	598
37	359	587
38	369	577
39	378	567
40	387	557
41	394	544
42	403	534
43	411	524
44	421	514
45	429	504
46	438	494
47	447	484
48	454	473
49	463	463
50	471	452
51	480	443
52	487	432
53	495	422
54	504	412
55	511	402
56	520	392
57	529	383
58	538	373
59	546	364
60	555	355
61	564	346
62	572	336
63	578	325
64	585	315
65	591	304
66	597	294
67	604	284
68	610	274
69	617	264
70	624	254
71	631	245
72	637	235
73	643	226
74	650	216
75	656	207
76	663	198
77	669	188
78	676	179
79	682	170
80	689	161
81	695	152
82	701	143
83	708	134
84	715	126
85	722	117
86	729	108
87	737	100
88	743	91
89	751	83
90	758	75
91	765	66
92	772	58
93	778	49
94	785	41
95	792	33
96	799	24
97	806	16
98	813	8
99	820	0
